week,year,name,team,opp,score,sacks,sack-yds,qb-hits,tackles,assists,fum-forced,fum-rec
17,11,Terrell Suggs,BAL,@ CIN,W  24-16,1.0,1.0,2,4,2,1,0
17,11,Ndamukong Suh,DET,@ GB,L 41-45,1.0,8.0,1,1,0,0,0
17,11,Lawrence Timmons,PIT,@ CLE,W  13-9,1.0,2.0,1,5,0,0,0
17,11,Justin Tuck,NYG,vs DAL,W  31-14,1.0,3.0,1,2,0,1,0
17,11,Daryl Washington,ARI,vs SEA,W  23-20,1.0,4.0,0,12,0,0,0
17,11,Kevin Williams,MIN,vs CHI,L 13-17,1.0,10.0,1,2,0,0,0
17,11,Jacquian Williams,NYG,vs DAL,W  31-14,1.0,8.0,1,3,2,0,0
17,11,Martez Wilson,NO,vs CAR,W  45-17,1.0,16.0,1,1,0,0,0
17,11,Willie Young,DET,@ GB,L 41-45,1.0,1.0,1,1,0,0,0
17,11,Kroy Biermann,ATL,vs TB,W  45-24,0.5,4.5,1,1,2,0,0
17,11,Bryan Braman,HOU,vs TEN,L 22-23,0.5,3.5,1,0,1,0,0
17,11,Carlos Dunlap,CIN,vs BAL,L 16-24,0.5,2.0,1,1,5,0,0
17,11,Wallace Gilberry,KC,@ DEN,W  7-3,0.5,4.5,2,0,1,0,0
17,11,Jason Hatcher,DAL,@ NYG,L 14-31,0.5,2.5,2,3,2,0,0
17,11,Erin Henderson,MIN,vs CHI,L 13-17,0.5,1.5,0,1,4,1,0
17,11,Michael Johnson,CIN,vs BAL,L 16-24,0.5,2.0,1,1,2,0,0
17,11,William Moore,ATL,vs TB,W  45-24,0.5,4.5,2,2,4,1,0
17,11,Derrick Morgan,TEN,@ HOU,W  23-22,0.5,2.5,1,0,1,0,0
17,11,Jesse Nading,HOU,vs TEN,L 22-23,0.5,3.5,1,0,1,0,1
17,11,George Selvie,,vs IND,W  19-13,0.5,1.0,1,2,1,0,1
17,11,Isa Abdul-Quddus,NO,vs CAR,W  45-17,0.0,0.0,0,4,0,1,0
17,11,Hamza Abdullah,ARI,vs SEA,W  23-20,0.0,0.0,0,0,0,0,0
17,11,Mike Adams,CLE,vs PIT,L 9-13,0.0,0.0,0,3,3,1,0
17,11,Darvin Adams,CAR,@ NO,L 17-45,0.0,0.0,0,0,0,0,0
17,11,Michael Adams,ARI,vs SEA,W  23-20,0.0,0.0,0,5,0,0,0
17,11,Anthony Adams,CHI,@ MIN,W  17-13,0.0,0.0,0,1,0,0,0
17,11,Joseph Addai,IND,@ ,L 13-19,0.0,0.0,0,0,0,0,0
17,11,Spencer Adkins,ATL,vs TB,W  45-24,0.0,0.0,0,1,2,0,0
17,11,Mister Alexander,HOU,vs TEN,L 22-23,0.0,0.0,0,3,0,0,0
17,11,Will Allen,MIA,vs NYJ,W  19-17,0.0,0.0,0,3,0,0,0
17,11,Russell Allen,,vs IND,W  19-13,0.0,0.0,0,5,1,0,0
17,11,Nate Allen,PHI,vs WAS,W  34-10,0.0,0.0,0,4,1,0,0
17,11,Asher Allen,MIN,vs CHI,L 13-17,0.0,0.0,0,5,0,0,0
17,11,Jason Allen,HOU,vs TEN,L 22-23,0.0,0.0,0,2,0,0,0
17,11,Will Allen,PIT,@ CLE,W  13-9,0.0,0.0,0,0,0,0,0
17,11,Tyson Alualu,,vs IND,W  19-13,0.0,0.0,0,0,1,0,0
