"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16656-31561","WR","Donte","Moncrief","8.399999618530273","2","5500","IND@TEN","IND","TEN","O","Shoulder","",""
"16656-11864","RB","Chris","Ivory","5.400000254313151","3","5500","OAK@JAC","JAC","OAK","","","",""
"16656-14317","TE","Julius","Thomas","7.525000095367432","4","5500","OAK@JAC","JAC","OAK","","","",""
"16656-11500","QB","Colt","McCoy","8.819999694824219","1","5500","WAS@DET","WAS","DET","","","",""
"16656-14704","WR","Chris","Hogan","6.700000127156575","6","5500","NE@PIT","NE","PIT","","","",""
"16656-7965","TE","Antonio","Gates","6.025000095367432","4","5500","SD@ATL","SD","ATL","","","",""
"16656-6808","QB","Matt","Moore","0.36000001430511475","1","5500","BUF@MIA","MIA","BUF","","","",""
"16656-7844","QB","Chad","Henne","0","0","5500","OAK@JAC","JAC","OAK","","","",""
"16656-6732","RB","DeAngelo","Williams","11.34999974568685","6","5500","NE@PIT","PIT","NE","Q","Knee","",""
"16656-28677","QB","Matt","McGloin","5.340000152587891","2","5500","OAK@JAC","OAK","JAC","","","",""
"16656-14237","TE","Kyle","Rudolph","10.419999694824218","5","5400","MIN@PHI","MIN","PHI","","","",""
"16656-34295","WR","Breshad","Perriman","3.9833332697550454","6","5400","BAL@NYJ","BAL","NYJ","","","",""
"16656-14320","RB","Bilal","Powell","6.25","6","5400","BAL@NYJ","NYJ","BAL","","","",""
"16656-62616","RB","Zach","Zenner","5.599999745686849","3","5400","WAS@DET","DET","WAS","","","",""
"16656-14757","RB","Matt","Asiata","6.619999694824219","5","5400","MIN@PHI","MIN","PHI","","","",""
"16656-39716","WR","Adam","Thielen","8.640000152587891","5","5400","MIN@PHI","MIN","PHI","","","",""
"16656-28694","TE","Jesse","James","7.016666412353516","6","5400","NE@PIT","PIT","NE","","","",""
"16656-14349","WR","Jeremy","Kerley","9.59999974568685","6","5400","TB@SF","SF","TB","","","",""
"16656-29683","WR","Nelson","Agholor","6.519999694824219","5","5300","MIN@PHI","PHI","MIN","","","",""
"16656-30237","RB","Mike","Gillislee","5.650000254313151","6","5300","BUF@MIA","BUF","MIA","","","",""
"16656-14905","WR","Kamar","Aiken","2.366666634877523","6","5300","BAL@NYJ","BAL","NYJ","","","",""
"16656-43413","RB","Kenneth","Dixon","1.350000023841858","2","5300","BAL@NYJ","BAL","NYJ","","","",""
"16656-25837","RB","Duke","Johnson Jr.","8.65000025431315","6","5300","CLE@CIN","CLE","CIN","","","",""
"16656-32243","WR","Marquise","Goodwin","6.5","5","5300","BUF@MIA","BUF","MIA","","","",""
"16656-11532","TE","Dennis","Pitta","7.75","6","5300","BAL@NYJ","BAL","NYJ","","","",""
"16656-14198","QB","Christian","Ponder","0","0","5200","TB@SF","SF","TB","","","",""
"16656-6422","TE","Gary","Barnidge","7.25","6","5200","CLE@CIN","CLE","CIN","","","",""
"16656-54782","TE","Cameron","Brate","8.04000015258789","5","5200","TB@SF","TB","SF","","","",""
"16656-54741","WR","Seth","Roberts","6.483333587646484","6","5200","OAK@JAC","OAK","JAC","","","",""
"16656-39280","RB","Derrick","Henry","4.216666539510091","6","5200","IND@TEN","TEN","IND","","","",""
"16656-38509","RB","Wendell","Smallwood","6.025000095367432","4","5200","MIN@PHI","PHI","MIN","","","",""
"16656-6857","RB","Justin","Forsett","4.849999904632568","4","5200","WAS@DET","DET","WAS","","","",""
"16656-6664","TE","Jacob","Tamme","6.483333587646484","6","5200","SD@ATL","ATL","SD","","","",""
"16656-27050","WR","Tyler","Lockett","4.179999923706054","5","5200","SEA@ARI","SEA","ARI","","","",""
"16656-29645","RB","Javorius","Allen","3.049999952316284","2","5100","BAL@NYJ","BAL","NYJ","","","",""
