year,place,team,adj-line-yards,rb-yards,power-sucess,power rank,stuffed,stuffed-rank,2nd_level_yds,2nd_level_rank,open_field_yds,open_field_rank
13,18,CLE,3.83,3.53,70%,9,20%,18,0.95,28,0.36,31
13,19,TEN,3.82,3.83,55%,29,20%,19,1.05,21,0.60,22
13,20,CHI,3.80,4.37,50%,30,21%,26,1.23,11,1.03,3
13,21,NYJ,3.79,4.27,68%,12,17%,8,0.95,27,0.80,11
13,22,PIT,3.79,3.57,60%,21,21%,24,0.94,29,0.39,29
13,23,WAS,3.75,4.51,76%,4,22%,28,1.29,5,0.95,7
13,24,ATL,3.74,3.91,63%,18,21%,25,0.98,25,0.76,14
13,25,PHI,3.71,5.02,72%,7,20%,21,1.57,1,1.24,2
13,26,OAK,3.71,4.09,61%,20,16%,6,0.88,31,0.83,10
13,27,TB,3.63,4.00,59%,22,21%,22,1.12,16,0.77,13
13,28,MIA,3.62,3.83,56%,27,21%,27,1.00,23,0.64,19
13,29,SF,3.57,4.05,55%,28,24%,29,1.12,15,0.98,5
13,30,NYG,3.27,3.48,70%,10,25%,31,1.10,18,0.45,28
13,31,JAC,3.13,3.43,58%,24,25%,30,0.93,30,0.59,24
13,32,BAL,3.01,2.95,49%,31,26%,32,0.76,32,0.30,32
13,x,NFL,x,4.10,64%,x,19%,x,1.01,x,0.65,x
14,1,DAL,4.40,4.86,76%,4,18%,11,1.38,2,1.10,2
14,2,NO,4.38,4.36,59%,22,18%,13,1.25,8,0.73,15
14,3,BAL,4.25,4.83,55%,28,21%,23,1.36,3,1.30,1
14,4,SEA,4.23,4.62,78%,2,17%,6,1.34,4,0.80,11
14,5,NE,4.22,4.11,59%,23,21%,27,1.22,11,0.59,23
14,6,PIT,4.10,4.50,69%,8,15%,1,1.18,15,0.96,5
14,7,KC,4.08,4.47,60%,21,17%,5,1.15,17,0.97,4
14,8,GB,4.08,4.39,59%,25,21%,24,1.29,5,0.83,8
14,9,MIA,4.06,4.63,63%,17,18%,12,1.42,1,0.82,9
14,10,SF,4.05,4.15,48%,32,21%,19,1.26,6,0.59,24
14,11,CIN,4.03,4.53,68%,9,15%,3,1.16,16,1.04,3
14,12,DEN,3.98,4.39,75%,5,18%,9,1.24,10,0.83,7
14,13,MIN,3.97,4.11,68%,10,15%,2,1.07,21,0.61,21
14,14,ATL,3.96,3.93,67%,13,21%,20,1.02,24,0.68,17
14,15,CHI,3.94,3.97,68%,10,18%,10,1.21,12,0.38,32
14,16,IND,3.94,3.91,52%,31,19%,15,1.20,13,0.46,29
14,17,TEN,3.91,3.82,63%,17,17%,4,1.06,23,0.39,31
14,18,STL,3.90,4.08,53%,30,21%,29,1.18,14,0.71,16
14,19,WAS,3.87,4.22,58%,27,20%,16,1.26,7,0.75,14
14,20,NYJ,3.84,4.20,75%,5,18%,8,1.12,20,0.65,19
14,21,DET,3.79,3.75,65%,15,22%,30,0.99,26,0.59,26
14,22,NYG,3.76,3.62,61%,20,20%,18,0.94,29,0.47,28
14,23,HOU,3.72,4.07,67%,13,21%,25,1.07,22,0.80,12
14,24,ARI,3.68,3.47,59%,24,19%,14,0.92,32,0.42,30
14,25,CLE,3.63,3.79,61%,19,22%,31,1.13,19,0.60,22
14,26,BUF,3.62,3.83,63%,16,17%,7,0.94,30,0.64,20
14,27,CAR,3.60,3.93,68%,10,20%,17,1.14,18,0.59,25
14,28,OAK,3.56,3.80,55%,29,21%,21,0.94,31,0.65,18
14,29,PHI,3.52,4.36,81%,1,21%,26,1.24,9,0.93,6
14,30,JAC,3.52,3.98,58%,26,21%,22,0.96,27,0.81,10
14,31,SD,3.29,3.51,78%,3,21%,28,0.95,28,0.52,27
14,32,TB,3.21,3.73,69%,7,23%,32,0.99,25,0.79,13
14,x,NFL,x,4.14,65%,x,19%,x,1.02,x,0.65,x
15,1,CIN,4.21,4.00,68%,13,17%,3,1.20,14,0.42,31
15,2,NE,4.19,3.88,64%,19,16%,1,1.17,16,0.42,30
15,3,ARI,4.18,4.59,51%,29,20%,16,1.22,6,1.15,4
15,4,SEA,4.18,4.44,71%,8,18%,5,1.20,15,0.81,12
15,5,KC,4.15,4.43,70%,11,18%,6,1.22,8,0.84,11
15,6,DAL,4.11,4.53,66%,15,17%,4,1.21,12,1.01,8
15,7,CHI,4.09,3.89,74%,4,16%,2,1.05,23,0.30,32
15,8,PIT,4.08,4.53,60%,24,19%,10,1.22,9,1.01,6
15,9,TB,4.00,4.86,71%,8,20%,13,1.20,13,1.40,1
15,10,MIN,3.96,4.55,76%,2,20%,12,1.24,4,1.12,5
15,11,NYG,3.96,4.02,47%,30,19%,11,1.10,21,0.59,23
15,12,CAR,3.89,4.10,76%,2,18%,8,1.23,5,0.61,22
15,13,NO,3.88,4.00,74%,5,20%,14,1.17,17,0.68,18
15,14,BAL,3.87,3.97,54%,28,23%,25,1.21,11,0.62,21
15,15,ATL,3.82,4.07,61%,21,22%,22,1.33,1,0.67,19
15,16,JAC,3.77,3.80,39%,31,22%,21,1.01,28,0.63,20
15,17,DEN,3.73,4.33,61%,23,23%,23,1.24,3,0.93,9
15,18,HOU,3.72,3.79,65%,16,19%,9,1.02,25,0.47,29
15,19,OAK,3.69,3.98,72%,7,18%,6,1.02,26,0.74,15
15,20,TEN,3.65,3.66,37%,32,22%,20,0.95,31,0.58,25
15,21,WAS,3.64,3.82,65%,18,22%,19,1.02,27,0.68,17
15,22,DET,3.61,3.76,69%,12,24%,29,1.11,20,0.59,24
15,23,BUF,3.59,4.68,71%,10,21%,17,1.28,2,1.18,2
15,24,STL,3.56,4.24,64%,20,23%,28,1.03,24,1.17,3
15,25,GB,3.56,4.00,61%,21,23%,27,1.11,19,0.73,16
15,26,NYJ,3.55,4.06,59%,26,23%,26,1.14,18,0.90,10
15,27,IND,3.47,3.52,60%,24,23%,24,0.99,29,0.48,28
15,28,MIA,3.45,4.28,58%,27,24%,30,1.22,7,1.01,7
15,29,CLE,3.32,3.75,65%,17,26%,31,0.98,30,0.78,14
15,30,PHI,3.25,4.09,84%,1,21%,18,1.21,10,0.81,13
15,31,SD,3.18,3.53,73%,6,20%,15,0.85,32,0.53,27
15,32,SF,3.16,3.51,67%,14,26%,31,1.05,22,0.57,26
15,x,NFL,x,4.09,65%,x,21%,x,1.01,x,0.69,x
16,1,NO,4.61,4.21,73%,10,11%,1,0.98,27,0.57,21
16,2,WAS,4.52,4.71,67%,14,13%,4,1.21,14,0.96,7
16,3,DAL,4.47,4.68,73%,8,15%,5,1.37,4,0.89,11
16,4,TEN,4.32,4.72,76%,5,18%,10,1.28,11,1.03,6
16,5,IND,4.30,3.81,78%,3,13%,3,1.04,25,0.25,31
16,6,PHI,4.29,4.58,52%,25,16%,7,1.45,3,0.74,16
16,7,OAK,4.20,4.84,72%,11,16%,6,1.31,9,1.17,4
16,8,ARI,4.17,4.16,70%,12,21%,21,1.14,19,0.82,15
16,9,HOU,4.14,4.45,76%,4,13%,2,1.27,12,0.65,19
16,10,MIA,4.08,4.97,64%,16,20%,19,1.47,1,1.29,1
