"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16864-70127","QB","Griffin","","Neal","0","0","5000","DEN@NO","NO","DEN","","","",""
"16864-31798","QB","Bryce","","Petty","0.7599999904632568","1","5000","LA@NYJ","NYJ","LA","","","",""
"16864-23075","QB","Alex","","Tanney","7.960000038146973","1","5000","GB@TEN","TEN","GB","","","",""
"16864-10744","K","Graham","","Gano","8.75","8","5000","KC@CAR","CAR","KC","","","",""
"16864-30788","QB","Tyler","","Bray","0","0","5000","KC@CAR","KC","CAR","","","",""
"16864-7919","QB","Kellen","","Clemens","-0.10000000149011612","1","5000","MIA@SD","SD","MIA","","","",""
"16864-29915","QB","Brett","","Hundley","0","0","5000","GB@TEN","GB","TEN","","","",""
"16864-24912","K","Dustin","","Hopkins","9.875","8","5000","MIN@WAS","WAS","MIN","","","",""
"16864-6687","QB","Mark","","Sanchez","0.11999999731779099","1","5000","DAL@PIT","DAL","PIT","","","",""
"16864-6664","TE","Jacob","","Tamme","6.25","8","5000","ATL@PHI","ATL","PHI","NA","Shoulder","",""
"16864-11615","QB","Joe","","Webb","0.26666667064030963","3","5000","KC@CAR","CAR","KC","","","",""
"16864-25969","QB","Tom","","Savage","0","0","5000","HOU@JAC","HOU","JAC","","","",""
"16864-34459","QB","B.J.","","Daniels","0.9200000166893005","4","5000","CHI@TB","CHI","TB","","","",""
"16864-28202","RB","Jeremy","","Langford","7.099999904632568","4","4900","CHI@TB","CHI","TB","","","",""
"16864-30635","RB","Mike","","Davis","1.8571428571428572","7","4900","SF@ARI","SF","ARI","","","",""
"16864-33244","WR","Eli","","Rogers","7.8599998474121096","5","4900","DAL@PIT","PIT","DAL","","","",""
"16864-29500","WR","Markus","","Wheaton","5.033333460489909","3","4900","DAL@PIT","PIT","DAL","NA","Coach's decision","",""
"16864-14952","K","Dan","","Bailey","9.25","8","4900","DAL@PIT","DAL","PIT","","","",""
"16864-31073","RB","Knile","","Davis","1.2600000381469727","5","4900","KC@CAR","KC","CAR","","","",""
"16864-48344","WR","Albert","","Wilson","4.433333396911621","6","4900","KC@CAR","KC","CAR","","","",""
"16864-12540","D","Minnesota","","Vikings","12.125","8","4900","MIN@WAS","MIN","WAS","","","",""
"16864-27134","WR","Dorial","","Green-Beckham","4.300000190734863","8","4900","ATL@PHI","PHI","ATL","","","",""
"16864-27050","WR","Tyler","","Lockett","4.057142802647182","7","4900","SEA@NE","SEA","NE","","","",""
"16864-24891","RB","Chris","","Thompson","8.412500381469727","8","4900","MIN@WAS","WAS","MIN","","","",""
"16864-28694","TE","Jesse","","James","5.900000095367432","8","4900","DAL@PIT","PIT","DAL","","","",""
"16864-21957","WR","Kendall","","Wright","9.09999974568685","6","4800","GB@TEN","TEN","GB","","","",""
"16864-15006","RB","Shaun","","Draughn","3.942857197352818","7","4800","SF@ARI","SF","ARI","","","",""
"16864-29357","RB","Kenjon","","Barner","3.8999999364217124","6","4800","ATL@PHI","PHI","ATL","","","",""
"16864-28486","WR","Corey","","Brown","4.074999809265137","8","4800","KC@CAR","CAR","KC","","","",""
"16864-54623","WR","Jeff","","Janis","3.6599998474121094","5","4800","GB@TEN","GB","TEN","","","",""
"16864-32045","TE","Vance","","McDonald","7.683333079020183","6","4800","SF@ARI","SF","ARI","","","",""
"16864-25783","RB","Mike","","James","3.5","1","4800","CHI@TB","TB","CHI","","","",""
"16864-12544","D","New York","","Jets","4.333333333333333","9","4800","LA@NYJ","NYJ","LA","","","",""
"16864-22433","TE","Dominique","","Jones","4.799999872843425","3","4800","MIA@SD","MIA","SD","","","",""
"16864-33714","K","Cairo","","Santos","10","8","4800","KC@CAR","KC","CAR","","","",""
"16864-7953","WR","Vincent","","Jackson","4.959999847412109","5","4800","CHI@TB","TB","CHI","IR","Knee","",""
"16864-28080","WR","Devin","","Funchess","5.328571319580078","7","4800","KC@CAR","CAR","KC","","","",""
"16864-6724","K","Stephen","","Hauschka","8.428571428571429","7","4800","SEA@NE","SEA","NE","","","",""
"16864-26247","K","Brandon","","McManus","9","9","4700","DEN@NO","DEN","NO","","","",""
"16864-26251","WR","Robby","","Anderson","4.657142639160156","7","4700","LA@NYJ","NYJ","LA","","","",""
"16864-53681","WR","Tyreek","","Hill","7.862500190734863","8","4700","KC@CAR","KC","CAR","","","",""
"16864-39373","WR","Jaelen","","Strong","3.3500000635782876","6","4700","HOU@JAC","HOU","JAC","Q","Ankle","",""
"16864-27411","RB","Aaron","","Ripkowski","1.9","5","4700","GB@TEN","GB","TEN","","","",""
"16864-32429","K","Josh","","Lambo","10","9","4700","MIA@SD","SD","MIA","","","",""
"16864-12556","D","Houston","","Texans","5.625","8","4700","HOU@JAC","HOU","JAC","","","",""
"16864-12536","D","Kansas City","","Chiefs","10.5","8","4700","KC@CAR","KC","CAR","","","",""
"16864-29725","TE","Levine","","Toilolo","4.028571537562779","7","4700","ATL@PHI","ATL","PHI","","","",""
"16864-33472","RB","C.J.","","Prosise","5.533333460489909","3","4700","SEA@NE","SEA","NE","","","",""
"16864-45683","RB","Kapri","","Bibbs","3.6200000762939455","5","4600","DEN@NO","DEN","NO","","","",""
"16864-6642","K","Nick","","Folk","7.444444444444445","9","4600","LA@NYJ","NYJ","LA","","","",""
"16864-6427","K","Connor","","Barth","6","8","4600","CHI@TB","CHI","TB","","","",""
"16864-54753","WR","Taylor","","Gabriel","7.516666412353516","6","4600","ATL@PHI","ATL","PHI","","","",""
"16864-37245","RB","Fozzy","","Whittaker","5.675000190734863","8","4600","KC@CAR","CAR","KC","","","",""
"16864-29314","TE","Richard","","Rodgers","4.0428570338657925","7","4600","GB@TEN","GB","TEN","","","",""
"16864-30261","K","Caleb","","Sturgis","10.625","8","4600","ATL@PHI","PHI","ATL","","","",""
"16864-32058","K","Chris","","Boswell","6","8","4600","DAL@PIT","PIT","DAL","","","",""
