"QB","RB","RB","WR","WR","WR","TE","K","D","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"","","","","","","","","","","17202-6863:Delanie Walker","17202-6863","TE","Delanie","","Walker","11.5","11","6200","DEN@TEN","TEN","DEN","","","",""
"","","","","","","","","","","17202-29605:Matt Barkley","17202-29605","QB","Matt","","Barkley","10.586666742960611","3","6200","CHI@DET","CHI","DET","","","",""
"","","","","","","","","","","17202-31798:Bryce Petty","17202-31798","QB","Bryce","","Petty","5.893333435058594","3","6100","NYJ@SF","NYJ","SF","","","",""
"","","","","","","","","","","17202-44449:Willie Snead","17202-44449","WR","Willie","","Snead","10.872727134011007","11","6100","NO@TB","NO","TB","","","",""
"","","","","","","","","","","17202-31394:Jarvis Landry","17202-31394","WR","Jarvis","","Landry","11.09999974568685","12","6100","ARI@MIA","MIA","ARI","","","",""
"","","","","","","","","","","17202-33463:Paxton Lynch","17202-33463","QB","Paxton","","Lynch","9.793333053588867","3","6100","DEN@TEN","DEN","TEN","","","",""
"","","","","","","","","","","17202-8052:Rashad Jennings","17202-8052","RB","Rashad","","Jennings","10.122222052680122","9","6100","DAL@NYG","NYG","DAL","","","",""
"","","","","","","","","","","17202-29715:Kevin Hogan","17202-29715","QB","Kevin","","Hogan","6.21999994913737","3","6000","CIN@CLE","CLE","CIN","","","",""
"","","","","","","","","","","17202-24641:Sammy Watkins","17202-24641","WR","Sammy","","Watkins","6.025000095367432","4","6000","PIT@BUF","BUF","PIT","","","",""
"","","","","","","","","","","17202-25812:Stephen Morris","17202-25812","QB","Stephen","","Morris","0","0","6000","HOU@IND","IND","HOU","","","",""
"","","","","","","","","","","17202-54608:Jerick McKinnon","17202-54608","RB","Jerick","","McKinnon","6.354545593261719","11","6000","MIN@JAC","MIN","JAC","","","",""
"","","","","","","","","","","17202-14696:Scott Tolzien","17202-14696","QB","Scott","","Tolzien","5.46999979019165","2","6000","HOU@IND","IND","HOU","","","",""
"","","","","","","","","","","17202-21959:Brandon Weeden","17202-21959","QB","Brandon","","Weeden","11.403333028157552","6","6000","HOU@IND","HOU","IND","","","",""
"","","","","","","","","","","17202-22994:Case Keenum","17202-22994","QB","Case","","Keenum","13.428888956705728","9","6000","ATL@LA","LA","ATL","","","",""
"","","","","","","","","","","17202-6639:Tony Romo","17202-6639","QB","Tony","","Romo","11.914999961853027","4","6000","DAL@NYG","DAL","NYG","","","",""
"","","","","","","","","","","17202-6679:Matt Schaub","17202-6679","QB","Matt","","Schaub","-0.20000000298023224","1","6000","ATL@LA","ATL","LA","","","",""
"","","","","","","","","","","17202-7744:Drew Stanton","17202-7744","QB","Drew","","Stanton","3.265000104904175","4","6000","ARI@MIA","ARI","MIA","","","",""
"","","","","","","","","","","17202-7778:Matt Cassel","17202-7778","QB","Matt","","Cassel","0.25","2","6000","DEN@TEN","TEN","DEN","","","",""
"","","","","","","","","","","17202-6840:Frank Gore","17202-6840","RB","Frank","","Gore","12.65000025431315","12","6000","HOU@IND","IND","HOU","","","",""
"","","","","","","","","","","17202-25272:Eric Ebron","17202-25272","TE","Eric","","Ebron","8.944444444444444","9","6000","CHI@DET","DET","CHI","","","",""
"","","","","","","","","","","17202-6844:Shaun Hill","17202-6844","QB","Shaun","","Hill","5.239999771118164","2","6000","MIN@JAC","MIN","JAC","","","",""
"","","","","","","","","","","17202-7872:Brian Hoyer","17202-7872","QB","Brian","","Hoyer","13.266666412353515","6","6000","CHI@DET","CHI","DET","IR","Forearm","",""
"","","","","","","","","","","17202-32514:Trevone Boykin","17202-32514","QB","Trevone","","Boykin","2.1733333269755044","3","6000","SEA@GB","SEA","GB","","","",""
"","","","","","","","","","","17202-27405:Landry Jones","17202-27405","QB","Landry","","Jones","2.306666692097982","6","6000","PIT@BUF","PIT","BUF","","","",""
"","","","","","","","","","","17202-7970:Charlie Whitehurst","17202-7970","QB","Charlie","","Whitehurst","10.380000114440918","1","6000","CIN@CLE","CLE","CIN","","","",""
"","","","","","","","","","","17202-39716:Adam Thielen","17202-39716","WR","Adam","","Thielen","9.066666920979818","12","6000","MIN@JAC","MIN","JAC","","","",""
"","","","","","","","","","","17202-25410:Mike Glennon","17202-25410","QB","Mike","","Glennon","9","1","6000","NO@TB","TB","NO","","","",""
"","","","","","","","","","","17202-29587:Cody Kessler","17202-29587","QB","Cody","","Kessler","9.819999694824218","8","6000","CIN@CLE","CLE","CIN","","","",""
"","","","","","","","","","","17202-14257:Randall Cobb","17202-14257","WR","Randall","","Cobb","10.318181818181818","11","6000","SEA@GB","GB","SEA","","","",""
"","","","","","","","","","","17202-30837:Jordan Matthews","17202-30837","WR","Jordan","","Matthews","10.4636362249201","11","5900","WAS@PHI","PHI","WAS","Q","Ankle","",""
"","","","","","","","","","","17202-11505:Emmanuel Sanders","17202-11505","WR","Emmanuel","","Sanders","11.84999974568685","12","5900","DEN@TEN","DEN","TEN","","","",""
"","","","","","","","","","","17202-31047:AJ McCarron","17202-31047","QB","AJ","","McCarron","8.17999976021903","7","5900","CIN@CLE","CIN","CLE","","","",""
"","","","","","","","","","","17202-22103:Marvin Jones Jr.","17202-22103","WR","Marvin","","Jones Jr.","10.754545731977982","11","5900","CHI@DET","DET","CHI","Q","Thigh","",""
"","","","","","","","","","","17202-6828:Tim Hightower","17202-6828","RB","Tim","","Hightower","6.641666412353516","12","5900","NO@TB","NO","TB","","","",""
"","","","","","","","","","","17202-33766:Rob Kelley","17202-33766","RB","Rob","","Kelley","8.480000305175782","10","5900","WAS@PHI","WAS","PHI","","","",""
