"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17288-39716","WR","Adam","","Thielen","9.300000117375301","13","6000","IND@MIN","MIN","IND","","","",""
"17288-25410","QB","Mike","","Glennon","9","1","6000","TB@DAL","TB","DAL","","","",""
"17288-28515","QB","Cardale","","Jones","0","0","6000","CLE@BUF","BUF","CLE","","","",""
"17288-14194","QB","Blaine","","Gabbert","13.199999491373697","6","6000","SF@ATL","SF","ATL","","","",""
"17288-29587","QB","Cody","","Kessler","9.819999694824218","8","6000","CLE@BUF","CLE","BUF","","","",""
"17288-14267","QB","Ryan","","Mallett","-0.01333333303531011","3","6000","PHI@BAL","BAL","PHI","","","",""
"17288-29780","TE","Zach","","Ertz","8.809091047807173","11","5900","PHI@BAL","PHI","BAL","","","",""
"17288-31047","QB","AJ","","McCarron","8.17999976021903","7","5900","PIT@CIN","CIN","PIT","","","",""
"17288-44449","WR","Willie","","Snead","10.925000508626302","12","5900","NO@ARI","NO","ARI","","","",""
"17288-6607","WR","Mike","","Wallace","11.569230299729566","13","5900","PHI@BAL","BAL","PHI","","","",""
"17288-6840","RB","Frank","","Gore","12.784615149864784","13","5900","IND@MIN","IND","MIN","","","",""
"17288-54753","WR","Taylor","","Gabriel","10.6","10","5800","SF@ATL","ATL","SF","","","",""
"17288-22163","WR","Rishard","","Matthews","10.461538461538461","13","5800","TEN@KC","TEN","KC","","","",""
"17288-25272","TE","Eric","","Ebron","8.569999694824218","10","5800","DET@NYG","DET","NYG","Q","Knee","",""
"17288-14237","TE","Kyle","","Rudolph","9.40769254244291","13","5800","IND@MIN","MIN","IND","","","",""
"17288-14257","WR","Randall","","Cobb","9.858333587646484","12","5800","GB@CHI","GB","CHI","Q","Ankle","",""
"17288-30837","WR","Jordan","","Matthews","10.583333333333334","12","5700","PHI@BAL","PHI","BAL","Q","Ankle","",""
"17288-54607","RB","Terrance","","West","9.792307927058292","13","5700","PHI@BAL","BAL","PHI","","","",""
"17288-54782","TE","Cameron","","Brate","9.153846153846153","13","5700","TB@DAL","TB","DAL","","","",""
"17288-8052","RB","Rashad","","Jennings","9.780000305175781","10","5700","DET@NYG","NYG","DET","","","",""
"17288-29593","WR","Marqise","","Lee","8.715384850135215","13","5700","JAC@HOU","JAC","HOU","","","",""
"17288-11495","WR","Brandon","","LaFell","8.3999997652494","13","5600","PIT@CIN","CIN","PIT","Q","Knee","",""
"17288-54608","RB","Jerick","","McKinnon","6.650000254313151","12","5600","IND@MIN","MIN","IND","","","",""
"17288-22047","TE","Ladarius","","Green","7.1400001525878904","5","5600","PIT@CIN","PIT","CIN","","","",""
"17288-22103","WR","Marvin","","Jones Jr.","10.583333333333334","12","5600","DET@NYG","DET","NYG","","","",""
"17288-28677","QB","Matt","","McGloin","0","1","5500","OAK@SD","OAK","SD","","","",""
"17288-7283","WR","Jeremy","","Maclin","7.399999830457899","9","5500","TEN@KC","KC","TEN","","","",""
"17288-6448","TE","Martellus","","Bennett","8.953846271221454","13","5500","NE@DEN","NE","DEN","Q","Ankle","",""
"17288-14645","WR","Dontrelle","","Inman","8.59230745755709","13","5500","OAK@SD","SD","OAK","","","",""
"17288-22848","QB","Austin","","Davis","7.393333435058594","3","5500","NE@DEN","DEN","NE","","","",""
"17288-54684","RB","Isaiah","","Crowell","11.246153611403245","13","5500","CLE@BUF","CLE","BUF","","","",""
"17288-14757","RB","Matt","","Asiata","7.6999998826247","13","5500","IND@MIN","MIN","IND","","","",""
"17288-7844","QB","Chad","","Henne","-0.20000000298023224","1","5500","JAC@HOU","JAC","HOU","","","",""
"17288-33465","RB","Theo","","Riddick","13.530000305175781","10","5500","DET@NYG","DET","NYG","Q","Wrist","",""
"17288-40669","WR","Tyler","","Boyd","6.530769348144531","13","5500","PIT@CIN","CIN","PIT","","","",""
"17288-62538","WR","Cameron","","Meredith","8.672727411443537","11","5400","GB@CHI","CHI","GB","","","",""
"17288-31061","RB","T.J.","","Yeldon","7.961538461538462","13","5400","JAC@HOU","JAC","HOU","","","",""
"17288-14704","WR","Chris","","Hogan","8.34999974568685","12","5400","NE@DEN","NE","DEN","","","",""
"17288-32243","WR","Marquise","","Goodwin","6.0363637750799","11","5400","CLE@BUF","BUF","CLE","","","",""
"17288-6828","RB","Tim","","Hightower","6.469230651855469","13","5400","NO@ARI","NO","ARI","","","",""
"17288-6857","RB","Justin","","Forsett","4.700000127156575","6","5400","NE@DEN","DEN","NE","","","",""
"17288-7972","RB","Darren","","Sproles","9.084615267240083","13","5400","PHI@BAL","PHI","BAL","Q","Concussion","",""
"17288-22004","TE","Dwayne","","Allen","7.163636641068892","11","5300","IND@MIN","IND","MIN","Q","Hip","",""
"17288-22018","WR","Mohamed","","Sanu","7.924999872843425","12","5300","SF@ATL","ATL","SF","Q","Groin","",""
"17288-11864","RB","Chris","","Ivory","6.966666751437717","9","5300","JAC@HOU","JAC","HOU","Q","Hamstring","",""
"17288-38509","RB","Wendell","","Smallwood","4.141666730244954","12","5300","PHI@BAL","PHI","BAL","IR","Knee","",""
"17288-7965","TE","Antonio","","Gates","8.63000030517578","10","5300","OAK@SD","SD","OAK","","","",""
"17288-27477","WR","Sterling","","Shepard","9.023077157827524","13","5300","DET@NYG","NYG","DET","","","",""
"17288-6479","WR","Anquan","","Boldin","9.046153728778545","13","5200","DET@NYG","DET","NYG","","","",""
"17288-11609","RB","James","","Starks","5.488889058430989","9","5200","GB@CHI","GB","CHI","Q","Concussion","",""
"17288-30108","WR","Marquess","","Wilson","8.833333333333334","3","5200","GB@CHI","CHI","GB","Q","Groin","",""
"17288-34295","WR","Breshad","","Perriman","5.974999745686849","12","5200","PHI@BAL","BAL","PHI","","","",""
"17288-23045","K","Justin","","Tucker","11.076923076923076","13","5200","PHI@BAL","BAL","PHI","","","",""
"17288-39580","RB","Devontae","","Booker","6.992307809682993","13","5200","NE@DEN","DEN","NE","","","",""
"17288-14198","QB","Christian","","Ponder","0","0","5200","SF@ATL","SF","ATL","","","",""
"17288-40845","TE","Hunter","","Henry","8.027273004705255","11","5200","OAK@SD","SD","OAK","","","",""
"17288-31732","WR","Corey","","Coleman","9","7","5200","CLE@BUF","CLE","BUF","","","",""
"17288-14339","RB","Dion","","Lewis","5.599999904632568","4","5100","NE@DEN","NE","DEN","","","",""
"17288-42028","WR","Will","","Fuller V","8.136363636363636","11","5100","JAC@HOU","HOU","JAC","","","",""
"17288-30775","WR","Justin","","Hunter","5.557143075125558","7","5100","CLE@BUF","BUF","CLE","","","",""
"17288-12526","D","Buffalo","","Bills","7.230769230769231","13","5100","CLE@BUF","BUF","CLE","","","",""
"17288-43413","RB","Kenneth","","Dixon","6.411111195882161","9","5100","PHI@BAL","BAL","PHI","","","",""
"17288-10647","K","Matt","","Bryant","10.538461538461538","13","5100","SF@ATL","ATL","SF","","","",""
"17288-21971","TE","Coby","","Fleener","7.769230769230769","13","5100","NO@ARI","NO","ARI","","","",""
"17288-29685","WR","Robert","","Woods","8.030000305175781","10","5100","CLE@BUF","BUF","CLE","","","",""
"17288-29734","RB","Ty","","Montgomery","6.299999872843425","12","5000","GB@CHI","GB","CHI","","","",""
"17288-30788","QB","Tyler","","Bray","0","0","5000","TEN@KC","KC","TEN","","","",""
"17288-53331","QB","Taylor","","Heinicke","0","0","5000","IND@MIN","MIN","IND","","","",""
"17288-11425","RB","Ryan","","Mathews","9.9636362249201","11","5000","PHI@BAL","PHI","BAL","","","",""
